Line,IP,Latency,Loss,Speed,Colo,Time
移动,172.67.102.208,209ms,0%,945 KB/s,Default,2025/1/17 13:46
移动,172.67.147.72,163ms,0%,770 KB/s,Default,2025/1/17 13:34
移动,172.67.155.149,192ms,0%,770 KB/s,Default,2025/1/17 13:34
移动,172.67.165.244,195ms,0%,635 KB/s,Default,2025/1/17 13:34
移动,172.67.175.117,194ms,0%,265 KB/s,Default,2025/1/17 13:46
联通,141.101.123.209,56ms,0%,1520 KB/s,NRT,2025/1/17 13:10
联通,172.67.119.55,55ms,0%,1520 KB/s,NRT,2025/1/17 12:50
联通,172.64.207.54,131ms,0%,720 KB/s,FRA,2025/1/17 13:00
联通,172.67.84.117,56ms,0%,700 KB/s,NRT,2025/1/17 13:40
联通,172.67.144.129,133ms,0%,620 KB/s,FRA,2025/1/17 13:30
电信,172.67.234.185,200ms,0%,745 KB/s,LHR,2025/1/17 13:45
电信,104.21.227.116,150ms,0%,295 KB/s,LAX,2025/1/17 13:45
电信,104.21.65.165,171ms,0%,295 KB/s,LHR,2025/1/17 13:45
电信,162.159.246.222,143ms,0%,290 KB/s,LAX,2025/1/17 13:45
电信,104.21.77.134,176ms,0%,275 KB/s,LHR,
